epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,319.733,0.90267,1.58941,0.81184,1.03996,0.81412,0.727,0.78236,0.57136,0.79351,0.7184,0.74779,0.50594,0.93484,1.94829,0.97516,1.03839,0.0014258,0.0014258,0.0014258
31,330.892,0.87385,1.51589,0.79982,1.01884,0.80072,0.67953,0.74911,0.55053,0.79023,0.67062,0.73558,0.4987,0.9528,1.88424,1.00484,1.06802,0.001406,0.001406,0.001406
32,342.072,0.88923,1.58661,0.78557,1.01524,0.81168,0.7181,0.78438,0.58869,0.81866,0.73294,0.78111,0.5229,0.8946,1.892,0.94681,1.04489,0.0013862,0.0013862,0.0013862
33,353.109,0.89454,1.57513,0.795,1.01538,0.86242,0.71217,0.79527,0.58947,0.8418,0.69436,0.75642,0.51529,0.90298,1.9025,0.86238,1.02682,0.0013664,0.0013664,0.0013664
34,363.112,0.87546,1.55816,0.79311,1.01481,0.86568,0.70761,0.78416,0.58475,0.86195,0.70407,0.75917,0.50945,0.91499,1.92908,0.87789,1.02722,0.0013466,0.0013466,0.0013466
35,373.29,0.86888,1.51514,0.76548,1.01456,0.86657,0.71305,0.78893,0.58914,0.84117,0.69147,0.76014,0.52089,0.90067,1.87826,0.86582,1.0314,0.0013268,0.0013268,0.0013268
36,383.331,0.8592,1.52147,0.77635,1.01479,0.85267,0.72131,0.79577,0.58362,0.8493,0.71909,0.7801,0.51851,0.92156,1.90289,0.8874,1.04098,0.001307,0.001307,0.001307
37,393.451,0.85941,1.56633,0.7561,0.9958,0.83148,0.71217,0.78245,0.57566,0.82615,0.70623,0.76801,0.52251,0.91324,1.88834,0.92634,1.05331,0.0012872,0.0012872,0.0012872
38,403.674,0.84353,1.50598,0.74316,1.00164,0.8486,0.68191,0.78364,0.59154,0.87677,0.65447,0.76656,0.53147,0.87149,1.91597,0.87523,1.02238,0.0012674,0.0012674,0.0012674
39,414.091,0.84441,1.48167,0.73312,0.99762,0.83311,0.66658,0.76381,0.57284,0.80577,0.67953,0.73572,0.51142,0.92659,1.88558,0.93927,1.05813,0.0012476,0.0012476,0.0012476
