epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1339,1.14661,2.56409,2.79137,1.16119,0.02342,0.83383,0.51147,0.33857,0.02242,0.79822,0.45489,0.28095,0.97643,2.4637,2.69197,1.02645,0.00038,0.00038,0.00038
2,87.2214,1.17724,2.23526,2.01787,1.11238,0.60931,0.51632,0.53591,0.33882,0.5883,0.49852,0.51124,0.30329,1.14624,2.8995,2.54028,1.09636,0.000772278,0.000772278,0.000772278
3,128.842,1.25936,2.31946,1.50885,1.17733,0.8496,0.33525,0.45282,0.29425,0.82652,0.32517,0.41957,0.27155,1.29786,2.61007,2.33605,1.2066,0.00115664,0.00115664,0.00115664
4,170.032,1.22192,2.25579,1.35291,1.20075,0.64619,0.4184,0.48143,0.31209,0.66325,0.40327,0.45291,0.26099,1.21325,2.87111,1.88198,1.17202,0.00153307,0.00153307,0.00153307
5,313.043,1.14402,2.14866,1.29593,1.17659,0.64245,0.47181,0.52678,0.34436,0.58282,0.42699,0.45274,0.28689,1.19382,3.12791,1.77127,1.19716,0.00190159,0.00190159,0.00190159
6,354.542,1.14218,2.20772,1.22894,1.14251,0.70149,0.53695,0.60601,0.40201,0.677,0.52244,0.56444,0.34382,1.16369,3.22783,1.93521,1.16888,0.001901,0.001901,0.001901
7,396.09,1.16526,2.19315,1.2214,1.16225,0.7301,0.61004,0.64319,0.42818,0.69026,0.56869,0.58758,0.33363,1.16606,3.46696,1.62301,1.21218,0.0018812,0.0018812,0.0018812
